date,death_all,recoveries_all,active_cases,,,number_of_cases,number_of_cases_change,death_all_copy, death_all_copy_change
2020-03-04,0,0,2,,,2,{{=}},0,0
2020-03-05,0,0,3,,,3,+50%,0,0
2020-03-06,0,0,4,,,4,+33%,0,0
2020-03-07,0,0,7,,,7,+75%,0,0
2020-03-08,0,0,9,,,9,+29%,0,0
2020-03-09,0,0,12,,,12,+33%,0,0
2020-03-10,0,0,12,,,12,{{=}},0,0
2020-03-11,0,0,13,,,13,+8.3%,0,0
2020-03-12,0,1,16,,,16,+23%,0,0
2020-03-13,0,1,19,,,19,+19%,0,0
2020-03-14,0,1,30,,,30,+58%,0,0
2020-03-15,1,1,32,,,32,+6.7%,1,{{inf}}
2020-03-16,1,2,39,,,39,+22%,1,{{=}}
2020-03-17,1,2,50,,,50,+28%,1,{{=}}
2020-03-18,1,2,58,,,58,+16%,1,{{=}}
2020-03-19,1,2,73,,,73,+26%,1,{{=}}
2020-03-20,4,7,85,,,85,+16%,4,+300%
2020-03-21,4,7,103,,,103,+21%,4,{{=}}
2020-03-22,6,16,131,,,131,+27%,6,+50%
2020-03-23,8,21,167,,,167,+27%,8,+34%
2020-03-24,9,21,187,,,187,+12%,9,+13%
2020-03-25,10,21,226,,,226,+21%,10,+11%
2020-03-26,10,28,261,,,261,+15%,10,{{=}}
2020-03-27,10,34,300,,,300,+15%,10,{{=}}
2020-03-28,11,34,343,,,343,+14%,11,+10%
2020-03-29,13,34,408,,,408,+19%,13,+18%
2020-03-30,15,34,447,,,447,+10%,15,+15%
2020-03-31,16,37,492,,,492,+10%,16,+7%
2020-04-01,20,40,525,,,525,+6.7%,20,+25%
2020-04-02,21,42,585,,,585,+11%,21,+5%
2020-04-03,26,43,623,,,623,+6.5%,26,+24%
2020-04-04,32,58,678,,,678,+8.8%,32,+23%
2020-04-05,34,66,733,,,733,+8.1%,34,+6.3%
2020-04-06,38,67,744,,,744,+1.5%,38,+11.8%
2020-04-07,47,71,817,,,817,+9.8%,47,+23.7%
2020-04-08,58,94,895,,,895,+9.5%,58,+23.4%
2020-04-09,66,96,980,,,980,+9.5%,66,+13.8%
2020-04-10,77,112,1190,,,1190,+21%,77,+17%
2020-04-11,85,115,1310,,,1310,+10.1%,85,+10.4%
2020-04-12,99,118,1410,,,1410,+7.6%,99,+16.5%
2020-04-13,109,120,1458,,,1458,+3.3%,109,+10.1%
2020-04-14,122,122,1512,,,1512,+3.7%,122,+11.9%
2020-04-15,134,192,1579,,,1579,+4.4%,134,+9.8%
2020-04-16,142,199,1652,,,1652,+4.6%,142,+6.0%
2020-04-17,156,207,1763,,,1763,+6.7%,156,+9.9%
2020-04-18,172,231,1834,,,1834,+4.0%,172,+10.3%
2020-04-19,189,250,1916,,,1916,+4.4%,189,+9.9%
2020-04-20,199,267,1984,,,1984,+3.5%,199,+5.3%
2020-04-21,213,287,2098,,,2098,+5.7%,213,+7.0%
2020-04-22,225,295,2168,,,2168,+3.3%,225,+5.6%
2020-04-23,239,390,2284,,,2284,+5.4%,239,+6.2%
2020-04-24,250,401,2383,,,2383,+4.3%,250,+4.6%
2020-04-25,262,458,2443,,,2443,+2.5%,262,+4.8%
2020-04-26,272,485,2500,,,2500,+2.3%,272,+3.8%
2020-04-27,280,498,2583,,,2583,+3.3%,280,+2.9%
2020-04-28,291,516,2649,,,2649,+2.6%,291,+3.9%
2020-04-29,300,536,2727,,,2727,+2.9%,300,+3.1%
2020-04-30,312,581,2775,,,2775,+1.8%,312,+4.0%
2020-05-01,323,609,2863,,,2863,+3.2%,323,+3.5%
2020-05-02,335,625,2942,,,2942,+2.8%,335,+3.7%
2020-05-03,340,629,2998,,,2998,+1.9%,340,+1.5%
2020-05-04,351,630,3035,,,3035,+1.2%,351,+3.2%
2020-05-05,363,709,3065,,,3065,+1.0%,363,+3.4%
2020-05-06,373,759,3111,,,3111,+1.5%,373,+2.8%
2020-05-07,383,801,3150,,,3150,+1.3%,383,+2.7%
2020-05-08,392,865,3178,,,3178,+0.9%,392,+2.3%
2020-05-09,405,904,3213,,,3213,+1.1%,405,+3.3%
2020-05-10,413,933,3263,,,3263,+1.6%,413,+2.0%
2020-05-11,421,958,3284,,,3284,+0.6%,421,+1.9%
2020-05-12,425,1007,3313,,,3313,+0.9%,425,+1.0%
2020-05-13,430,1102,3341,,,3341,+0.8%,430,+1.2%
2020-05-14,436,1169,3380,,,3380,+1.2%,436,+1.4%
2020-05-15,442,1287,3417,,,3417,+1.1%,442,+1.4%
2020-05-16,448,1371,3473,,,3473,+1.6%,448,+1.4%
2020-05-17,451,1396,3509,,,3509,+1.0%,451,+0.7%
2020-05-18,462,1400,3535,,,3535,+0.7%,462,+2.4%
2020-05-19,467,1412,3556,,,3556,+0.6%,467,+1.1%
2020-05-20,470,1454,3598,,,3598,+1.2%,470,+0.6%
2020-05-21,473,1509,3641,,,3641,+1.2%,473,+0.6%
2020-05-22,476,1587,3678,,,3678,+1.0%,476,+0.6%
2020-05-23,482,1655,3713,,,3713,+1.0%,482,+1.3%
2020-05-24,486,1690,3741,,,3741,+0.8%,486,+0.8%
2020-05-25,491,1711,3756,,,3756,+0.4%,491,+1.0%
2020-05-26,499,1836,3771,,,3771,+0.4%,499,+1.6%
2020-05-27,505,1856,3793,,,3793,+0.6%,505,+1.2%
2020-05-28,509,1996,3816,,,3816,+0.6%,509,+0.8%
2020-05-29,517,2024,3841,,,3841,+0.7%,517,+1.6%
2020-05-30,524,2142,3867,,,3867,+0.7%,524,+1.4%
